username, created_at, lng, lat, text
NessAgEd, Mon Apr 20 04:04:19 +0000 2020, -93.389864, 41.938228, I got some serious Carroll Baskin vibes from this Jerry Krause guy... 
ChaotiCliqueMom, Mon Apr 20 04:04:19 +0000 2020, -73.831187, 40.670879, https://t.co/eSu0DmNWNZ 
icy1992, Mon Apr 20 04:04:19 +0000 2020, -121.641268, 36.689149, https://t.co/PFzcsqwN3T 
soffdb, Mon Apr 20 04:04:19 +0000 2020, -77.604684, 41.117936, goodnight to everyone except men who say i have a girlfriend but here’s my snapchat... 
desyy32, Mon Apr 20 04:04:19 +0000 2020, -80.263517, 26.124507, I just spent over two hours going through @HamillHimself twitter and crying hahah help 
mc_flurry_TSE, Mon Apr 20 04:04:19 +0000 2020, -85.380540, 39.932606, It is that day my dudes. Celebrate responsibly, or don't, fuck I don't care 
jackie_cieras, Mon Apr 20 04:04:19 +0000 2020, -118.411907, 34.020789, @AzuuBedoya If we went to school with him than I don’t trust him lol 
Dymen_, Mon Apr 20 04:04:19 +0000 2020, -87.967292, 43.056722, Faith Evans did what she had to do on “Come Over” 
leddeb420, Mon Apr 20 04:04:19 +0000 2020, -121.405451, 38.489742, @weijia @PeterBacon5 Thank you for trying to hold him accountable. 
Dame20v, Mon Apr 20 04:04:20 +0000 2020, -74.245455, 40.624274, Dang it really sucks seeing all these people on my timeline that have people passing away because of rona 
Sharleesmad, Mon Apr 20 04:04:20 +0000 2020, -122.307427, 47.792534, I hope everyone is safe and sound at home. .let me know how you all are doing https://t.co/t3DKVjlxd9 
huncho_dammy, Mon Apr 20 04:04:20 +0000 2020, -97.552161, 35.482844, @ama_writes Start small 
chriszolto, Mon Apr 20 04:04:20 +0000 2020, -86.136609, 40.035742, Semi Charmed Life 
blubonnetbby, Mon Apr 20 04:04:20 +0000 2020, -96.621634, 32.907642, 30’s too. 
MoniqueFuentes3, Mon Apr 20 04:04:20 +0000 2020, -80.233328, 25.782353, @damifran @N7RockyTheRock Jajajajaja que bien súper feeling 😍 
nikaurisnicole, Mon Apr 20 04:04:20 +0000 2020, -74.184848, 40.734494, yes i’m sorry in advance 
prydaslut, Mon Apr 20 04:04:20 +0000 2020, -112.124676, 33.552863, It’s really gonna be like that 🥴 https://t.co/esA4s09UIc 
4sissielola, Mon Apr 20 04:04:20 +0000 2020, -121.979527, 37.523645, @Gess7Saldana @GiftedTawk 🤣😂😆 
katiemorrison, Mon Apr 20 04:04:20 +0000 2020, -89.533770, 34.354670, All our love to Rhona and Amanda from Cody and me. Peace be with you. 
Dena65425230, Mon Apr 20 04:04:20 +0000 2020, -122.334461, 47.307568, @GersLevy It shows,  You all drank the tRump Kool-aid!!! 
Loulmd36, Mon Apr 20 04:04:20 +0000 2020, -105.550890, 38.997936, Wouldn't want any of these protesters working at my company. Be employed somewhere else. 
dizparks, Mon Apr 20 04:04:20 +0000 2020, -90.247824, 38.653771, This @espn shit slaps!!!! https://t.co/zYRAizynGT 
lellingw, Mon Apr 20 04:04:20 +0000 2020, -77.454733, 43.232025, @classic_film Just listen to a Tristan Rogers interview the other day. He played Robert Scorpio. Says that Helena C… https://t.co/gn4nGoqw5W 
hotgirlerin_, Mon Apr 20 04:04:21 +0000 2020, -92.061177, 30.206079, I know I’m no cover girl. 
TheFlowerGirl13, Mon Apr 20 04:04:21 +0000 2020, -93.249777, 45.049967, @linaetra @merctrio I saw people calling it a retcon so it bears asking 
samantha_anneee, Mon Apr 20 04:04:21 +0000 2020, -77.493170, 37.529883, Where da album at. 
Dr_Porter_MD, Mon Apr 20 04:04:21 +0000 2020, -80.233328, 25.782353, Happy holidays fam. Stay safe and stay home 
renaissancegen, Mon Apr 20 04:04:21 +0000 2020, -80.233328, 25.782353, Grass is Greener 😊 @lilbadsnacks #NT2jams https://t.co/VAiLCYPv8l 
HustleInLove777, Mon Apr 20 04:04:21 +0000 2020, -158.016171, 21.500754, This a club for 18+ if you’re a child or you’re scared 🤓 keep scrolling 
sirjayt88, Mon Apr 20 04:04:21 +0000 2020, -111.931711, 34.168253, Designated Survivor. 💪🏼❤️Season 2: Episode 5. 
michaelwright50, Mon Apr 20 04:04:21 +0000 2020, -97.754724, 30.323346, @CharlesPPierce https://t.co/WkGKHLozAQ 
sbrinceofbelair, Mon Apr 20 04:04:21 +0000 2020, -77.236969, 38.805115, it’s time. let’s rise 
CurlinaBaby, Mon Apr 20 04:04:21 +0000 2020, -76.745598, 35.853180, I’m on watever you on. &amp; this go for any situation &amp; anybody 
alejandrov_69, Mon Apr 20 04:04:21 +0000 2020, -97.477426, 25.972106, sé que todavía piensas en mí 
TheAngieChu, Mon Apr 20 04:04:21 +0000 2020, -85.557614, 38.194744, @meldlibyh Louisville, KY over here!! 
JermzGXIII, Mon Apr 20 04:04:21 +0000 2020, -117.217920, 33.921924, 🤣💀 
dderonnnn, Mon Apr 20 04:04:21 +0000 2020, -91.090800, 30.459100, I fcks w/ raunique 😂❤️ 
jamespgwynne, Mon Apr 20 04:04:21 +0000 2020, -73.968542, 40.780709, @espn_macmahon Wrong https://t.co/yGVIPuRBx7 
AmandaVallejo7, Mon Apr 20 04:04:21 +0000 2020, -97.169156, 31.547449, when you’re craving a fruit cup but you’re in waco so you don’t know what’s good and what’s not good :) 
_vivianaacosta, Mon Apr 20 04:04:21 +0000 2020, -117.294096, 34.134925, They stealing your moves @rvmiro_  @jennyyavalos 
JanetARivera1, Mon Apr 20 04:04:22 +0000 2020, -121.300425, 37.980826, Thank you, Alex 👏🏼🎓💯🎓🎓🎓 
callejas_connie, Mon Apr 20 04:04:21 +0000 2020, -96.961483, 32.863917, Bello mi  hijo 🙏🏼🇲🇽🇸🇻 https://t.co/UIYLT1VCin 
tregwaluh, Mon Apr 20 04:04:22 +0000 2020, -79.861034, 35.170499, he got til 11:59 rn 
HollywoodTyrone, Mon Apr 20 04:04:22 +0000 2020, -88.161555, 30.683649, @RockwallCat You gotta watch it lol 
TinxDtl, Mon Apr 20 04:04:22 +0000 2020, -79.616073, 43.555244, I used Shazam to discover MIA by Bad Bunny Feat. Drake. https://t.co/tFHMFs3EVU 
PappyTheGoat, Mon Apr 20 04:04:22 +0000 2020, -95.446486, 29.838495, @damnnyofeelings Shit so boring son 😂 
miiihrouu, Mon Apr 20 04:04:22 +0000 2020, -79.272570, 43.629311, WTF THAT WAS 11 DAYS AGO WOAH 
OfficerNorman, Mon Apr 20 04:04:22 +0000 2020, -92.257150, 34.788087, Agreed! 
kassidykristine, Mon Apr 20 04:04:22 +0000 2020, -80.817245, 41.235332, Awe #3 me,@cassafrassisass , and @boslandia 
ICEEAPHER300, Mon Apr 20 04:04:22 +0000 2020, -117.446376, 34.089183, “ FRONT STREET “ COMING SOON 🎥🎶🍾🎲 🎥: btcvisuals | @joshuamatadamas FLOOD DA COMMENTS &amp; IMA DROP IT NO CAP 😈💨 @ W… https://t.co/MvahwnzYM7 
yolexayy, Mon Apr 20 04:04:22 +0000 2020, -87.732013, 41.833585, @TheKalenAllen And that bitch will never be!!!! 
turnstiIefan, Mon Apr 20 04:04:22 +0000 2020, -97.754724, 30.323346, 1, 3, 9 
partee210, Mon Apr 20 04:04:22 +0000 2020, -96.761753, 32.819858, "If I'm surge ibaka I'm naming my first kid Dirk" - Jeff vangudy 2011 as he's watched Dirk score 46 on ibaka 
theonly_lava, Mon Apr 20 04:04:22 +0000 2020, -84.207404, 33.940731, @AshleeCartier If you’re under warranty or have Apple care we can set you up with a replacement device 
quietin_, Mon Apr 20 04:04:23 +0000 2020, -92.659354, 30.814622, That threw me for a loop... 
TPirofalo, Mon Apr 20 04:04:23 +0000 2020, -88.526811, 41.664940, @ScottBaio 😂😂😂 
